treat,ID,depth,BD,MC
MW,1,1,0.81,0.54
MW,1,1,0.76,0.51
MW,1,1,0.80,0.52
MW,1,2,0.83,0.44
MW,1,2,0.91,0.40
MW,1,2,0.82,0.37
MW,1,3,1.14,0.29
MW,1,3,1.03,0.29
MW,1,3,1.21,0.28
MW,1,4,1.39,0.20
MW,1,4,1.52,0.19
MW,1,4,1.45,0.19
MW,2,1,0.82,0.52
MW,2,1,0.81,0.49
MW,2,1,0.83,0.47
MW,2,2,0.92,0.34
MW,2,2,1.09,0.33
MW,2,2,1.25,0.29
MW,2,3,1.13,0.25
MW,2,3,1.26,0.23
MW,2,3,1.31,0.23
MW,2,4,1.14,0.20
MW,2,4,1.29,0.21
MW,2,4,1.55,0.18
MW,3,1,0.90,0.49
MW,3,1,0.84,0.53
MW,3,1,0.67,0.55
MW,3,2,1.12,0.34
MW,3,2,0.96,0.39
MW,3,2,1.06,0.37
MW,3,3,1.22,0.26
MW,3,3,1.29,0.26
MW,3,3,1.31,0.27
MW,3,4,1.46,0.22
MW,3,4,1.70,0.19
MW,3,4,1.39,0.23
